"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 14:45:40 GMT 2024","Fri Jan 26 14:45:47 GMT 2024","7153","yopmail helper","","","","","Read details of an email in text type",""
"passed","Fri Jan 26 14:45:40 GMT 2024","Fri Jan 26 14:45:54 GMT 2024","13605","yopmail helper","","","","","Read link of an email",""
"passed","Fri Jan 26 14:45:40 GMT 2024","Fri Jan 26 14:45:44 GMT 2024","3938","yopmail helper","","","","","get inbox of a mail address",""
"passed","Fri Jan 26 14:45:40 GMT 2024","Fri Jan 26 14:45:50 GMT 2024","10397","yopmail helper","","","","","Read details of an email in html type",""
